Date, Time, Amount, Type, Description
2025-07-10,03:57:09,-105.19,Withdrawal,TESLA MOTORS TESLA MOTO
2025-07-09,04:24:11,-9.99,Withdrawal,TESLA MOTORS TESLA MOTO
2025-07-08,23:37:10,18.70,Deposit,Interest Paid
2025-07-04,01:23:48,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2025-06-20,01:07:01,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2025-06-10,04:42:09,-105.19,Withdrawal,TESLA MOTORS TESLA MOTO
2025-06-10,04:42:08,-9.99,Withdrawal,TESLA MOTORS TESLA MOTO
2025-06-08,23:25:12,17.95,Deposit,Interest Paid
2025-06-06,02:51:22,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2025-06-03,13:32:33,-750.00,Withdrawal,Internet transfer to Spending account XXXXXX6284
2025-05-23,01:34:24,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2025-05-12,03:25:01,-105.19,Withdrawal,TESLA MOTORS TESLA MOTO
2025-05-09,04:42:42,-9.99,Withdrawal,TESLA MOTORS TESLA MOTO
2025-05-09,01:59:50,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2025-05-08,23:35:29,19.81,Deposit,Interest Paid
2025-05-06,15:54:17,-2000.00,Withdrawal,Internet transfer to Spending account XXXXXX6284
2025-04-25,01:30:39,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2025-04-12,14:33:53,-1500.00,Withdrawal,Internet transfer to Spending account XXXXXX6284
2025-04-11,02:19:22,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2025-04-10,04:45:35,-105.19,Withdrawal,TESLA MOTORS TESLA MOTO
2025-04-09,05:26:03,-9.99,Withdrawal,TESLA MOTORS TESLA MOTO
2025-04-08,23:41:56,22.41,Deposit,Interest Paid
2025-03-28,01:48:10,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2025-03-21,04:08:06,-470.00,Withdrawal,SCHWAB BROKERAGE MONEYLINK
2025-03-14,02:21:41,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2025-03-11,05:54:16,-105.19,Withdrawal,TESLA MOTORS TESLA MOTO
2025-03-11,05:54:16,-9.99,Withdrawal,TESLA MOTORS TESLA MOTO
2025-03-08,23:24:23,19.38,Deposit,Interest Paid
2025-03-06,08:26:10,-1500.00,Withdrawal,Internet transfer to Spending account XXXXXX6284
2025-03-03,00:23:08,956.00,Deposit,IRS  TREAS 310 TAX REF REF*MACD*ANDOVE*12/2024*TAX REFUND*30\~ Future Amount: 956 ~ Tran: DDIR
2025-02-28,02:19:40,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2025-02-28,01:30:35,200.00,Deposit,COMM. OF MASS. MASTTAXRFD~ Future Amount: 200 ~ Tran: DDIR
2025-02-14,02:18:11,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2025-02-11,05:37:43,-105.19,Withdrawal,TESLA MOTORS TESLA MOTO
2025-02-11,05:37:42,-9.99,Withdrawal,TESLA MOTORS TESLA MOTO
2025-02-08,23:24:28,17.86,Deposit,Interest Paid
2025-01-31,01:40:00,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2025-01-17,01:27:28,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2025-01-09,05:10:52,-9.99,Withdrawal,TESLA MOTORS TESLA MOTO
2025-01-08,23:37:16,19.19,Deposit,Interest Paid
2025-01-03,01:47:44,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2025-01-02,16:08:37,-2000.00,Withdrawal,Internet transfer to Spending account XXXXXX6284
2024-12-20,01:26:33,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2024-12-15,18:01:37,-1000.00,Withdrawal,Internet transfer to Spending account XXXXXX6284
2024-12-10,04:44:41,-9.99,Withdrawal,TESLA MOTORS TESLA MOTO
2024-12-09,09:23:23,3000.00,Deposit,Internet transfer from Spending account XXXXXX6284
2024-12-08,23:25:43,9.49,Deposit,Interest Paid
2024-12-06,02:22:33,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2024-11-22,01:23:03,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2024-11-13,01:16:28,-105.19,Withdrawal,TESLA MOTORS TESLA MOTO~ Future Amount: 105.19 ~ Tran: ACHDW
2024-11-08,23:35:43,10.00,Deposit,Interest Paid
2024-11-08,01:27:56,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2024-10-30,10:56:17,-1500.00,Withdrawal,Internet transfer to Spending account XXXXXX6284
2024-10-25,01:22:52,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2024-10-22,03:07:55,-500.00,Withdrawal,ROBINHOOD DEBITS
2024-10-11,02:17:02,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2024-10-10,04:51:17,-105.19,Withdrawal,TESLA MOTORS TESLA MOTO
2024-10-08,23:34:29,8.45,Deposit,Interest Paid
2024-09-27,01:38:26,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2024-09-13,01:24:33,600.00,Deposit,Requested transfer from ALLY BANK Spending account XXXXXX6284
2024-09-08,23:23:28,13.87,Deposit,Interest Paid
2024-09-05,18:21:07,-1100.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2024-09-03,03:32:17,-2499.63,Withdrawal,TESLA MOTORS TESLA MOTO
