Date, Time, Amount, Type, Description
2025-07-10,03:06:37,-1000.00,Withdrawal,Synchrony Bank CC PYMT
2025-07-10,02:44:47,-314.95,Withdrawal,ATT PAYMENT
2025-07-09,12:20:57,-50.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-07-08,23:35:24,0.28,Deposit,Interest Paid
2025-07-08,23:11:48,-2000.00,Withdrawal,Check Paid #1088
2025-07-07,06:04:34,-511.37,Withdrawal,APPLECARD GSBANK PAYMENT
2025-07-07,05:55:25,-35.00,Withdrawal,DISCOVER E-PAYMENT
2025-07-07,04:10:24,-50.00,Withdrawal,BEST BUY AUTO PYMT
2025-07-07,02:42:12,-177.00,Withdrawal,VENMO PAYMENT
2025-07-04,01:23:48,-600.00,Withdrawal,Requested transfer to ALLY BANK Savings account XXXXXX6299
2025-07-03,17:03:45,-100.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-07-03,16:07:49,-53.19,Withdrawal,"REPLIT, INC. REPLIT, IN"
2025-07-01,17:57:35,3747.27,Deposit,BOSTON CHILDREN' DIR DEP
2025-06-30,19:50:28,-35.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-06-30,05:19:26,-6.38,Withdrawal,Rocket Money Premium
2025-06-25,19:47:12,-50.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-06-25,05:21:13,-75.00,Withdrawal,CHASE CREDIT CRD AUTOPAY
2025-06-25,01:03:56,-76.49,Withdrawal,EVERSOURCE WEB_PAY~ Future Amount: 76.49 ~ Tran: ACHDW
2025-06-23,03:59:14,-631.67,Withdrawal,CAPITAL ONE AUTO DIRECTPAY
2025-06-20,01:07:01,-600.00,Withdrawal,Requested transfer to ALLY BANK Savings account XXXXXX6299
2025-06-20,00:43:12,-51.70,Withdrawal,NGRID06 NGRID06~ Future Amount: 51.7 ~ Tran: ACHDW
2025-06-19,16:48:13,-50.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-06-18,12:43:51,3552.20,Deposit,BOSTON CHILDREN' DIR DEP
2025-06-18,12:05:28,-20.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-06-18,03:26:59,-15.00,Withdrawal,VENMO PAYMENT
2025-06-16,20:26:40,-35.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-06-16,05:26:48,-70.00,Withdrawal,VENMO PAYMENT
2025-06-16,04:44:23,-129.41,Withdrawal,FIDELITY FPRS
2025-06-13,17:02:16,-25.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-06-13,04:34:19,-50.00,Withdrawal,VENMO PAYMENT
2025-06-13,04:33:20,-552.50,Withdrawal,VENMO PAYMENT
2025-06-13,03:34:44,-200.00,Withdrawal,HARVARD FCU OLB XFER
2025-06-12,01:10:45,-281.42,Withdrawal,SAFETY INSURANCE INS PREMIU~ Future Amount: 281.42 ~ Tran: ACHDW
2025-06-10,21:26:50,-45.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-06-10,04:23:40,-1181.04,Withdrawal,CHASE CREDIT CRD EPAY
2025-06-10,03:41:39,-178.99,Withdrawal,ATT PAYMENT
2025-06-08,23:23:25,0.32,Deposit,Interest Paid
2025-06-08,23:22:29,3.00,Deposit,ATM Fee Reimbursement
2025-06-06,02:51:22,-600.00,Withdrawal,Requested transfer to ALLY BANK Savings account XXXXXX6299
2025-06-05,23:12:11,-2000.00,Withdrawal,Check Paid #1087
2025-06-05,16:07:21,-100.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-06-05,12:46:06,-20.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-06-05,04:38:28,-35.00,Withdrawal,DISCOVER E-PAYMENT
2025-06-05,03:56:53,-50.00,Withdrawal,BEST BUY AUTO PYMT
2025-06-05,03:42:45,-10.00,Withdrawal,VENMO PAYMENT
2025-06-04,16:07:17,-25.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-06-04,12:54:33,3552.36,Deposit,BOSTON CHILDREN' DIR DEP
2025-06-03,18:11:32,-20.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-06-03,13:32:33,750.00,Deposit,Internet transfer from Savings account XXXXXX6299
2025-06-03,07:11:54,-50.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-06-03,04:21:50,-10.00,Withdrawal,VENMO PAYMENT
2025-06-01,16:54:44,-80.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-05-30,09:02:38,-50.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-05-30,03:50:17,-6.38,Withdrawal,Rocket Money Premium
2025-05-29,11:25:43,-25.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-05-27,04:32:07,-10.00,Withdrawal,VENMO PAYMENT
2025-05-27,04:23:18,-10.00,Withdrawal,VENMO PAYMENT
2025-05-27,04:05:42,-56.00,Withdrawal,CHASE CREDIT CRD AUTOPAY
2025-05-27,00:55:38,-1996.45,Withdrawal,CHASE CREDIT CRD EPAY~ Future Amount: 1996.45 ~ Tran: ACHDW
2025-05-26,15:11:06,-50.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-05-25,13:43:56,-175.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-05-23,01:34:24,-600.00,Withdrawal,Requested transfer to ALLY BANK Savings account XXXXXX6299
2025-05-22,16:18:57,-50.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-05-22,01:02:02,-64.29,Withdrawal,EVERSOURCE WEB_PAY~ Future Amount: 64.29 ~ Tran: ACHDW
2025-05-21,16:15:20,-631.67,Withdrawal,CAPITAL ONE AUTO DIRECTPAY
2025-05-21,16:10:37,3552.36,Deposit,BOSTON CHILDREN' DIR DEP
2025-05-20,01:11:49,-514.15,Withdrawal,NGRID06 NGRID06~ Future Amount: 514.15 ~ Tran: ACHDW
2025-05-16,03:55:45,-200.00,Withdrawal,HARVARD FCU OLB XFER
2025-05-15,05:06:55,-33.59,Withdrawal,"TST* GANKO ITTESU RAME 318 HARVARD ST STE 3 BROOKLINE, MA, US"
2025-05-15,04:24:18,-129.41,Withdrawal,FIDELITY FPRS
2025-05-15,03:38:01,-35.00,Withdrawal,E-ZPass MA 8776277745
2025-05-14,23:12:16,-2000.00,Withdrawal,Check Paid #1086
2025-05-13,03:17:27,-14.98,Withdrawal,AMEX EPAYMENT ACH PMT
2025-05-12,05:26:19,-150.00,Withdrawal,VENMO PAYMENT
2025-05-12,03:58:24,-229.55,Withdrawal,SAFETY INSURANCE INS PREMIU
2025-05-12,02:39:25,-189.03,Withdrawal,ATT Payment
2025-05-09,17:48:25,-43.00,Withdrawal,"PAI ATM 628 E 5TH ST. BOSTON, MA, US"
2025-05-09,04:44:17,-600.00,Withdrawal,VENMO PAYMENT
2025-05-09,01:59:50,-600.00,Withdrawal,Requested transfer to ALLY BANK Savings account XXXXXX6299
2025-05-08,23:33:33,0.23,Deposit,Interest Paid
2025-05-07,16:11:18,3552.36,Deposit,BOSTON CHILDREN' DIR DEP
2025-05-06,15:54:17,2000.00,Deposit,Internet transfer from Savings account XXXXXX6299
2025-05-05,05:40:54,-1616.13,Withdrawal,CHASE CREDIT CRD EPAY
2025-05-05,05:31:25,-35.00,Withdrawal,DISCOVER E-PAYMENT
2025-05-05,04:31:20,-50.00,Withdrawal,BEST BUY AUTO PYMT
2025-04-30,03:27:10,-6.38,Withdrawal,Rocket Money Premium
2025-04-27,15:08:22,-55.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-04-25,01:30:39,-600.00,Withdrawal,Requested transfer to ALLY BANK Savings account XXXXXX6299
2025-04-23,16:15:06,3552.36,Deposit,BOSTON CHILDREN' DIR DEP
2025-04-22,01:17:25,-32.62,Withdrawal,EVERSOURCE WEB_PAY~ Future Amount: 32.62 ~ Tran: ACHDW
2025-04-21,16:09:48,-631.67,Withdrawal,CAPITAL ONE AUTO DIRECTPAY
2025-04-18,03:06:29,-200.00,Withdrawal,HARVARD FCU OLB XFER
2025-04-17,17:22:16,-40.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-04-15,04:46:14,-129.41,Withdrawal,FIDELITY FPRS
2025-04-14,01:00:44,-229.71,Withdrawal,SAFETY INSURANCE INS PREMIU~ Future Amount: 229.71 ~ Tran: ACHDW
2025-04-13,14:41:03,-20.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-04-12,14:34:10,-20.00,Withdrawal,Internet transfer to Spending account XXXXXX6300
2025-04-12,14:33:53,1500.00,Deposit,Internet transfer from Savings account XXXXXX6299
2025-04-11,02:19:22,-600.00,Withdrawal,Requested transfer to ALLY BANK Savings account XXXXXX6299
2025-04-11,01:59:47,-1762.00,Withdrawal,CHASE CREDIT CRD EPAY~ Future Amount: 1762 ~ Tran: ACHDW
